timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
1/26/2025 4:34:01 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:04 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:05 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:06 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:07 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:08 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:34:12 PM;-0.695;1.728;2.536;-0.1254754;0.8451453;1.629383
1/26/2025 4:34:13 PM;-0.695;1.728;2.536;-0.1329575;0.8375166;1.643962
1/26/2025 4:34:14 PM;-0.695;1.728;2.536;-0.1573265;0.8615211;1.657756
1/26/2025 4:34:15 PM;-0.695;1.728;2.536;-0.1465063;0.8492236;1.648848
1/26/2025 4:34:16 PM;-0.695;1.728;2.536;-0.1428498;0.8522909;1.65367
1/26/2025 4:34:17 PM;-0.695;1.728;2.536;-0.141138;0.8467922;1.653751
1/26/2025 4:34:18 PM;-0.695;1.728;2.536;-0.1393835;0.8544117;1.653564
1/26/2025 4:34:19 PM;-0.695;1.728;2.536;-0.1359845;0.8488968;1.66012
1/26/2025 4:34:20 PM;-0.695;1.728;2.536;-0.12918;0.8471136;1.65804
1/26/2025 4:34:21 PM;-0.695;1.728;2.536;-0.1585343;0.8611802;1.67743
1/26/2025 4:34:22 PM;-0.695;1.728;2.536;-0.1527745;0.8593168;1.668233
1/26/2025 4:34:23 PM;-0.695;1.728;2.536;-0.137116;0.852411;1.656444
1/26/2025 4:34:24 PM;-0.695;1.728;2.536;-0.144307;0.8618262;1.670236
1/26/2025 4:34:25 PM;-0.695;1.728;2.536;-0.1402574;0.858255;1.665796
1/26/2025 4:34:26 PM;-0.695;1.728;2.536;-0.1329;0.8472129;1.647084
1/26/2025 4:34:27 PM;-0.695;1.728;2.536;-0.1384007;0.8577498;1.659721
1/26/2025 4:34:28 PM;-0.695;1.728;2.536;-0.1385106;0.8533148;1.651498
1/26/2025 4:34:29 PM;-0.695;1.728;2.536;-0.1153905;0.88563;1.70073
1/26/2025 4:34:30 PM;-0.695;1.728;2.536;-0.1251351;0.8822429;1.706249
timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
1/26/2025 4:37:05 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:07 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:08 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:13 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:14 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:15 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:16 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:17 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:18 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:19 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:20 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:21 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:22 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:23 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:24 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:25 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:26 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:27 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
1/26/2025 4:37:36 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:38 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:39 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:40 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:41 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:42 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:43 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:44 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:45 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:46 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:47 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:48 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:49 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:50 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:51 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:52 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:53 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:54 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:55 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:56 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:57 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:58 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:37:59 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:38:00 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:38:01 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:38:02 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:38:03 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:38:04 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/26/2025 4:38:06 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
