timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
1/24/2025 9:10:07 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:09 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:10 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:11 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
1/24/2025 9:10:12 PM;-0.695;1.728;2.536;-0.695;1.728;2.536
